SOORAH_SEQ_NO,AYAT_SEQ_NO
'1','2'
'2','7'
'2','8'
'2','9'
'2','10'
'2','15'
'2','17'
'2','19'
'2','20'
'2','22'
'2','23'
'2','26'
'2','27'
'2','28'
'2','55'
'2','60'
'2','61'
'2','62'
'2','64'
'2','67'
'2','70'
'2','72'
'2','73'
'2','74'
'2','75'
'2','76'
'2','77'
'2','79'
'2','80'
'2','83'
'2','85'
'2','88'
'2','89'
'2','90'
'2','91'
'2','94'
'2','95'
'2','96'
'2','97'
'2','98'
'2','101'
'2','102'
'2','103'
'2','105'
'2','106'
'2','107'
'2','109'
'2','110'
'2','112'
'2','113'
'2','114'
'2','115'
'2','116'
'2','118'
'2','120'
'2','126'
'2','132'
'2','136'
'2','137'
'2','138'
'2','139'
'2','140'
'2','142'
'2','143'
'2','144'
'2','148'
'2','149'
'2','153'
'2','154'
'2','156'
'2','158'
'2','159'
'2','161'
'2','164'
'2','165'
'2','167'
'2','169'
'2','170'
'2','172'
'2','173'
'2','174'
'2','176'
'2','177'
'2','181'
'2','182'
'2','185'
'2','187'
'2','189'
'2','190'
'2','192'
'2','193'
'2','194'
'2','195'
'2','196'
'2','197'
'2','198'
'2','199'
'2','200'
'2','202'
'2','203'
'2','204'
'2','205'
'2','206'
'2','207'
'2','209'
'2','210'
'2','211'
'2','212'
'2','213'
'2','214'
'2','215'
'2','216'
'2','217'
'2','218'
'2','219'
'2','220'
'2','221'
'2','222'
'2','223'
'2','224'
'2','225'
'2','226'
'2','227'
'2','228'
'2','229'
'2','230'
'2','231'
'2','232'
'2','233'
'2','234'
'2','235'
'2','237'
'2','238'
'2','239'
'2','240'
'2','242'
'2','243'
'2','244'
'2','245'
'2','246'
'2','247'
'2','249'
'2','251'
'2','252'
'2','253'
'2','255'
'2','256'
'2','257'
'2','258'
'2','259'
'2','260'
'2','261'
'2','262'
'2','263'
'2','264'
'2','265'
'2','266'
'2','267'
'2','268'
'2','270'
'2','271'
'2','272'
'2','273'
'2','275'
'2','276'
'2','278'
'2','279'
'2','281'
'2','282'
'2','283'
'2','284'
'2','285'
'2','286'
'3','2'
'3','4'
'3','5'
'3','7'
'3','9'
'3','10'
'3','11'
'3','13'
'3','14'
'3','15'
'3','18'
'3','19'
'3','20'
'3','21'
'3','23'
'3','28'
'3','29'
'3','30'
'3','31'
'3','32'
'3','33'
'3','34'
'3','36'
'3','37'
'3','39'
'3','40'
'3','42'
'3','45'
'3','47'
'3','49'
'3','50'
'3','51'
'3','52'
'3','54'
'3','55'
'3','57'
'3','59'
'3','61'
'3','62'
'3','63'
'3','64'
'3','66'
'3','68'
'3','70'
'3','73'
'3','74'
'3','75'
'3','76'
'3','77'
'3','78'
'3','79'
'3','81'
'3','83'
'3','84'
'3','86'
'3','87'
'3','89'
'3','92'
'3','94'
'3','95'
'3','97'
'3','98'
'3','99'
'3','101'
'3','102'
'3','103'
'3','107'
'3','108'
'3','109'
'3','110'
'3','112'
'3','113'
'3','114'
'3','115'
'3','116'
'3','117'
'3','119'
'3','120'
'3','121'
'3','122'
'3','123'
'3','126'
'3','129'
'3','130'
'3','132'
'3','134'
'3','135'
'3','140'
'3','141'
'3','142'
'3','144'
'3','145'
'3','146'
'3','148'
'3','150'
'3','151'
'3','152'
'3','153'
'3','154'
'3','155'
'3','156'
'3','157'
'3','158'
'3','159'
'3','160'
'3','162'
'3','163'
'3','164'
'3','165'
'3','166'
'3','167'
'3','169'
'3','170'
'3','171'
'3','172'
'3','173'
'3','174'
'3','176'
'3','177'
'3','179'
'3','180'
'3','181'
'3','182'
'3','183'
'3','187'
'3','189'
'3','191'
'3','195'
'3','198'
'3','199'
'3','200'
'4','1'
'4','5'
'4','6'
'4','9'
'4','11'
'4','12'
'4','13'
'4','14'
'4','15'
'4','16'
'4','17'
'4','19'
'4','23'
'4','24'
'4','25'
'4','26'
'4','27'
'4','28'
'4','29'
'4','30'
'4','32'
'4','33'
'4','34'
'4','35'
'4','36'
'4','37'
'4','38'
'4','39'
'4','40'
'4','42'
'4','43'
'4','45'
'4','46'
'4','47'
'4','48'
'4','49'
'4','50'
'4','52'
'4','54'
'4','56'
'4','58'
'4','59'
'4','61'
'4','62'
'4','63'
'4','64'
'4','69'
'4','70'
'4','72'
'4','73'
'4','74'
'4','75'
'4','76'
'4','77'
'4','78'
'4','79'
'4','80'
'4','81'
'4','82'
'4','83'
'4','84'
'4','85'
'4','86'
'4','87'
'4','88'
'4','89'
'4','90'
'4','92'
'4','93'
'4','94'
'4','95'
'4','96'
'4','97'
'4','99'
'4','100'
'4','102'
'4','103'
'4','104'
'4','105'
'4','106'
'4','107'
'4','108'
'4','109'
'4','110'
'4','111'
'4','113'
'4','114'
