"ROOT_LETTER_TEXT","KALIMAH_TEXT"
"غ ب ر","الْغَابِرِينَ"
"غ ب ر","غَبَرَةٌ"
"غ ب ن","التَّغَابُنِ"
"غ ث و","غُثَاءً"
"غ د ر","نُغَادِرْ"
"غ د ر","بُغَادِرُ"
"غ د ق","غَدَقًا"
"غ د و","غَدَوْا"
"غ د و","غَدَوْتَ"
"غ د و","ٱغْدُوا"
"غ د و","لِغَدٍ"
"غ د و","غَدًا"
"غ د و","بِٱلْغُدُوِّ"
"غ د و","غُدُوَّا"
"غ د و","غُدُوُّهَا"
"غ د و","بِٱلْغَدَاة"
"غ د و","غَدَاءَنَا"
"غ ر ب","غَرَبَتْ"
"غ ر ب","تَغْرُبُ"
"غ ر ب","الْغُرُوبِ"
"غ ر ب","غُرُوبِهَا"
"غ ر ب","ٱلْمَغْرِب"
"غ ر ب","الْمَغْرِبَيْنِ"
"غ ر ب","ٱلْمَغَارِبِ"
"غ ر ب","مَغَارِِبَهَا"
"غ ر ب","ٱلْغَرْبِىِّ"
"غ ر ب","غَرْبِيَّةٍ"
"غ ر ب","ٱلْغُرَابِ"
"غ ر ب","غُرَابًا"
"غ ر ب","غَرَابِيبُ"
"غ ر ر","غَرَّ"
"غ ر ر","غَرَّتْكُمُ"
"غ ر ر","غَرَّتْهُمُ"
"غ ر ر","غَرَّكَ"
"غ ر ر","غَرَّكُمْ"
"غ ر ر","غَرَّهُمْ"
"غ ر ر","تَغُرَّنَّكُمُ"
"غ ر ر","يَغْرُرْكَ"
"غ ر ر","يَغُرَّنَّكَ"
"غ ر ر","يَغُرَّنَّكُمْ"
"غ ر ر","ٱلْغُرُورِ"
"غ ر ر","غُرُورًا"
"غ ر ر","ٱلْغَرُورُ"
"غ ر ف","ٱغْتَرَفَ"
"غ ر ف","غُرْفَةً"
"غ ر ف","غُرَفٌ"
"غ ر ف","غُرَفًا"
"غ ر ف","الْغُرُفَات"
"غ ر ق","أَغْرَقْنَا"
"غ ر ق","فَأَغْرَقْنَاهُ"
"غ ر ق","أَغْرَقْنَاهُمْ"
"غ ر ق","لِتُغْرِقَ"
"غ ر ق","نُغْرِقْهُمْ"
"غ ر ق","فَيُغْرِقَكُمْ"
"غ ر ق","أَغْرِقُوا"
"غ ر ق","غَرْقًا"
"غ ر ق","الْغَرَقُ"
"غ ر ق","مُغْرَقُونَ"
"غ ر ق","الْمُغْرَقِينَ"
"غ ر م","الْغَارِمِينَ"
"غ ر م","غَرَامًا"
"غ ر م","مَغْرَمٍ"
"غ ر م","مَغْرَمًا"
"غ ر م","لَمُغْرَمُونَ"
"غ ر و","فَأَغْرَبْنَا"
"غ ر و","لَنُغْرِيَنَّكَ"
"غ ز ل","غَزْلَهَا"
"غ ز و","غُزًّى"
"غ س ق","غَسَقِ"
"غ س ق","غَاسِقٍ"
"غ س ق","غَسَّاقٌ"
"غ س ق","غَسَّاقًا"
"غ س ل","فَٱغْسِلُوا"
"غ س ل","تَغْتَسِلُوا"
"غ س ل","مُغْتَسَلٌ"
"غ س ل","غِسْلِينٍ"
"غ ش و","غَشِيَهُمْ"
"غ ش و","تَغْشَى"
"غ ش و","يَغْشَى"
"غ ش و","يَغْشَاهُ"
"غ ش و","يَغْشَاهَا"
"غ ش و","يَغْشَاهُمُ"
"غ ش و","يُغْشَى"
"غ ش و","غَشَّى"
"غ ش و","فَغَشَّاهَا"
"غ ش و","يُغَشِّيكُمُ"
"غ ش و","فَأَغْشَيْنَاهُمْ"
"غ ش و","يُغْشِى"
"غ ش و","أُغْشِيَتْ"
"غ ش و","تَغَشَّاهَا"
"غ ش و","ٱسْتَغْشَوْا"
"غ ش و","يَسْتَغْشُونَ"
"غ ش و","غَاشِيَة"
"غ ش و","غَوَاشٍ"
"غ ش و","غِشَاوَة"
"غ ش و","ٱلْمَغْشِىِّ"
"غ ص ب","غَصْبًا"
"غ ص ص","غُصَّةٍ"
"غ ض ب","غَضِبَ"
"غ ض ب","غَضِبُوا"
"غ ض ب","غَضَب"
"غ ض ب","غَضَبِى"
"غ ض ب","غَضْبَانَ"
"غ ض ب","الْمَغْضُوبِ"
"غ ض ب","مَغَاضِبًا"
"غ ض ض","يَغْضُضْنَ"
"غ ض ض","يَغُضُّوا"
"غ ض ض","يَغُضُّونَ"
"غ ض ض","ٱغْضُضْ"
"غ ط ش","أَغْطَشَ"
"غ ط و","غِطَاءٍ"
"غ ط و","غِطَاءَكَ"
"غ ف ر","غَفَرَ"
"غ ف ر","فَغَفَرْنَا"
"غ ف ر","تَغْفِرْ"
"غ ف ر","تَغْفِرُوا"
"غ ف ر","نَغْفِرْ"
"غ ف ر","يَغْفِر"
"غ ف ر","يَغْفِرُوا"
"غ ف ر","يَغْفِرُونَ"
"غ ف ر","ٱغْفِرْ"
"غ ف ر","يُغْفَر"
"غ ف ر","ٱسْتَغْفَرَ"
"غ ف ر","أَسْتَغْفَرْتَ"
"غ ف ر","ٱسْتَغْفَرُوا"
"غ ف ر","أَسْتَغْفِرُ"
"غ ف ر","لَأَسْتَغْفِرَنَّ"
"غ ف ر","تَسْتَغْفِرْ"
"غ ف ر","تَسْتَغْفِرُونَ"
"غ ف ر","يَسْتَغْفِر"
"غ ف ر","يَسْتَغْفِرُوا"
"غ ف ر","يَسْتَغْفِرُونَ"
"غ ف ر","يَسْتَغْفِرُونَهُ"
"غ ف ر","ٱسْتَغْفِر"
"غ ف ر","ٱسْتَغْفِرْهُ"
"غ ف ر","ٱسْتَغْفِرُوا"
"غ ف ر","ٱسْتَغْفِرُوهُ"
"غ ف ر","ٱسْتَغْفِرِى"
"غ ف ر","غَافِرِ"
"غ ف ر","ٱلْغَافِرِينَ"
"غ ف ر","غَفُور"
"غ ف ر","غَفُورًا"
"غ ف ر","ٱلْغَفَّار"
"غ ف ر","غَفَّارًا"
"غ ف ر","غُفْرَانَكَ"
"غ ف ر","مَغْفِرَة"
"غ ف ر","ٱسْتِغْفَارُ"
"غ ف ر","ٱلْمُسْتَغْفِرِينَ"
"غ ف ل","تَغْفُلُونَ"
"غ ف ل","أَغْفَلْنَا"
"غ ف ل","بِغَافِلٍ"
"غ ف ل","غَافِلًا"
"غ ف ل","غَافِلُونَ"
"غ ف ل","غَافِلِينَ"
"غ ف ل","ٱلْغَافِلَاتِ"
"غ ف ل","غَفْلَةٍ"
"غ ل ب","غَلَبَتْ"
"غ ل ب","غَلَبُوا"
"غ ل ب","لَأَغْلِبَنَّ"
"غ ل ب","تَغْلِبُونَ"
"غ ل ب","يَغْلِبْ"
"غ ل ب","يَغْلِبُوا"
"غ ل ب","سَيَغْلِبُونَ"
"غ ل ب","غُلِبَتِ"
"غ ل ب","فَغُلِبُوا"
"غ ل ب","سَتُغْلَبُونَ"
"غ ل ب","يُغْلَبُونَ"
"غ ل ب","غَلَبِهِمْ"
"غ ل ب","غَالِب"
"غ ل ب","غَالِبُونَ"
"غ ل ب","ٱلْغَالِبِينَ"
"غ ل ب","مَغْلُوبٌ"
"غ ل ب","غُلْبًا"
"غ ل ظ","ٱغْلُظْ"
"غ ل ظ","ٱسْتَغلَظَ"
"غ ل ظ","غَلِيظ"
"غ ل ظ","غَلِيظًا"
"غ ل ظ","غِلَاظٌ"
"غ ل ظ","غِلْظَةً"
"غ ل ف","غُلْفٌ"
"غ ل ق","غَلَّقَتِ"
"غ ل ل","غَلَّ"
"غ ل ل","يَغُلَّ"
"غ ل ل","يَغْلُلْ"
"غ ل ل","فَغَلُّوهُ"
"غ ل ل","غُلَّتْ"
"غ ل ل","غِلِّ"
"غ ل ل","غِلًّا"
"غ ل ل","ٱلْأَغْلَالُ"
"غ ل ل","أَغْلَالًا"
"غ ل ل","مَغْلُولَة"
"غ ل م","غُلَام"
"غ ل م","غُلَامًا"
"غ ل م","غُلَامَيْنَ"
"غ ل م","غِلْمَانٌ"
"غ ل و","تَغْلُوا"
"غ ل ى","يَغْلِى"
"غ ل ى","كَغَلْىِ"
"غ م ر","غَمْرَةٍ"
"غ م ر","غَمْرَتِهِم"
"غ م ر","غَمَرَات"
"غ م ز","يَتَغَامَزُونَ"
"غ م ض","تُغْمِضُوا"
"غ م م","غَمٍّ"
"غ م م","غَمَّا"
"غ م م","غُمَّةً"
"غ م م","ٱلْغَمَام"
"غ ن م","غَنِمْتُمْ"
"غ ن م","مَغَانِم"
"غ ن م","ٱلْغَنَم"
"غ ن م","غَنَمِى"
"غ ن ى","تَغْنَ"
"غ ن ى","يَغْنَوْا"
"غ ن ى","أَغْنَى"
"غ ن ى","أَغْنَاهُمُ"
"غ ن ى","أَغْنَتْ"
"غ ن ى","أُغْنِى"
"غ ن ى","تُغْنِ"
"غ ن ى","تُغْنِىَ"
"غ ن ى","يُغْنِ"
"غ ن ى","يُغْنِهِمُ"
"غ ن ى","يُغْنُوا"
"غ ن ى","يُغْنِى"
"غ ن ى","يُغْنِيَا"
"غ ن ى","يُغْنِيكُمُ"
"غ ن ى","يُغْنِيهِ"
"غ ن ى","يُغْنِيَهُمُ"
"غ ن ى","ٱسْتَغْنَى"
"غ ن ى","غَنِىُّ"
"غ ن ى","غَنِيَّا"
"غ ن ى","أَغْنِيَاء"
"غ ن ى","مُغْنُونَ"
"غ و ث","يُغَاثُوا"
"غ و ث","فَٱسْتَغَاثَهُ"
"غ و ث","يَسْتَغِيثَانِ"
"غ و ث","تَسْتَغِيثُونَ"
"غ و ث","يَسْتَغِيثُوا"
"غ و ر","ٱلْغَارِ"
"غ و ر","غَوْرًا"
"غ و ر","مَغَارَاتٍ"
"غ و ص","يَغُوصُونَ"
"غ و ص","غَوَّاصٍ"
"غ و ط","ٱلْغَائِطِ"
"غ و ل","غَوْلٌ"
"غ و ى","غَوَى"
"غ و ى","غَوَيْنَا"
"غ و ى","أَغْوَيْتَنِى"
"غ و ى","أَغْوَيْنَا"
"غ و ى","أَغْوَيْنَاكُمْ"
"غ و ى","أَغْوَيْنَاهُمْ"
"غ و ى","لَأُغْوِيَنَّهُمْ"
"غ و ى","يُغْوِيَكُمْ"
"غ و ى","ٱلغَىِّ"
"غ و ى","غَيَّا"
"غ و ى","غَوِىٌّ"
"غ و ى","ٱلْغَاوُونَ"
"غ و ى","ٱلْغَاوِينَ"
"غ ى ب","يَغْتَبْ"
"غ ى ب","ٱلْغَيْب"
"غ ى ب","غَيْبِهِ"
